NAME,MASS,MASS_SINI,SEMI_MAJOR_AXIS,ORBITAL_PERIOD,ECCENTRICITY,OMEGA,TIME_PERIAPSE,PLANETARY_RADIUS,INCLINATION,DETECTION_TYPE,STAR_MASS,STAR_AGE,STAR_TEMP,STAR_RADIUS,STAR_METALLICITY
HD 31253 b,0.5,0.5,1.26,466.0,0.3,244.0,10660.0,,,Radial Velocity,1.23,3.0,5960.0,1.71,0.16
HD 31527 b,0.0363,0.0363,0.1253,16.557000000000002,0.16,,,,,Radial Velocity,,,,,
HD 31527 c,0.0498,0.0498,0.2665,51.2,0.08,,,,,Radial Velocity,,,,,
HD 31527 d,0.0519,0.0519,0.8181,274.2,0.67,,,,,Radial Velocity,,,,,
HD 3167 b,0.0158,,0.01815,0.959641,,,,0.152,83.4,Primary Transit,0.88,5.0,5367.0,0.828,0.0
HD 3167 c,0.0308,,0.1795,29.8454,0.267,180.0,,0.26899999999999996,89.5,Primary Transit,0.88,5.0,5367.0,0.828,0.0
HD 3167 d,0.0217,0.0217,0.07757,8.492,0.36,176.0,,,,Radial Velocity,0.88,5.0,5367.0,0.828,0.0
HD 32518 b,3.04,3.04,0.59,157.54,0.01,306.11,2452950.29,,,Radial Velocity,1.13,5.83,4580.0,10.22,0.15
HD 32963 b,0.7,0.7,3.41,2372.0,0.07,107.0,2450532.0,,,Radial Velocity,0.94,4.99,5727.0,,0.11
HD 330075 b,0.62,0.62,0.039,3.6413,0.0187,38.2,2452968.399,1.06,,Radial Velocity,0.95,6.21,6295.0,,0.03
HD 33142 b,1.385,1.385,1.07,326.0,0.066,146.0,2455329.0,1.235,,Radial Velocity,1.54,3.0,4978.0,4.36,0.05
HD 33142 c,0.62,0.62,1.96,809.0,0.16,126.0,2439850.0,1.2770000000000001,,Radial Velocity,1.54,3.0,4978.0,4.36,0.05
HD 33283 b,0.33,0.33,0.168,18.1801,0.45799999999999996,156.0,2453560.0,0.99,,Radial Velocity,1.24,3.2,5995.0,1.2,0.366
HD 33564 b,9.1,9.1,1.1,388.0,0.34,205.0,52603.0,,,Radial Velocity,1.25,3.0,6250.0,1.1,0.12
HD 33844 b,1.96,1.96,1.6,551.4,0.15,211.0,,,,Radial Velocity,1.75,2.1,4827.0,,
HD 33844 c,1.75,1.75,2.24,916.0,0.13,71.0,,,,Radial Velocity,1.75,2.1,4827.0,,
HD 34445 b,0.629,0.629,2.075,1056.7,0.013999999999999999,115.0,2453781.0,,,Radial Velocity,1.07,8.5,5836.0,1.38,0.14
HD 34445 c,0.168,0.168,0.7181,214.67,0.036000000000000004,149.0,,,,Radial Velocity,1.07,8.5,5836.0,1.38,0.14
HD 34445 d,0.09699999999999999,0.09699999999999999,0.4817,117.87,0.027000000000000003,246.0,,,,Radial Velocity,1.07,8.5,5836.0,1.38,0.14
HD 34445 e,0.0529,0.0529,0.2687,49.175,0.09,304.0,,,,Radial Velocity,1.07,8.5,5836.0,1.38,0.14
HD 34445 f,0.11900000000000001,0.11900000000000001,1.5430000000000001,676.8,0.031,212.0,,,,Radial Velocity,1.07,8.5,5836.0,1.38,0.14
HD 34445 g,0.38,0.38,6.36,5700.0,0.032,235.0,,,,Radial Velocity,1.07,8.5,5836.0,1.38,0.14
HD 35759 b,3.76,3.76,0.389,82.46700000000001,0.389,256.0,2456469.72,,,Radial Velocity,1.15,,6060.0,,0.04
HD 3651 b,0.23,0.228,0.295,62.25,0.645,243.0,2453932.6,,83.0,Radial Velocity,0.79,5.13,5173.0,0.9470000000000001,0.05
HD 3651B,53.0,,476.0,,,,,0.8,,Imaging,0.79,5.13,5173.0,0.9470000000000001,0.05
HD 37124 b,0.675,0.675,0.53364,154.378,0.054000000000000006,130.0,2450305.0,,,Radial Velocity,0.83,3.33,5610.0,0.82,0.442
HD 37124 c,0.652,0.652,1.71,885.5,0.125,53.0,2449534.0,,,Radial Velocity,0.83,3.33,5610.0,0.82,0.442
HD 37124 d,0.696,0.696,2.807,1862.0,0.16,360.0,2448558.0,,,Radial Velocity,0.83,3.33,5610.0,0.82,0.442
HD 37605 b,2.813,2.813,0.2837,55.01306999999999,0.6767,220.86,2453378.241,,,Radial Velocity,1.0,7.0,5448.0,0.9,0.34
HD 37605 c,3.366,3.366,3.8139999999999996,2720.0,0.013000000000000001,221.0,2454838.0,,,Radial Velocity,1.0,7.0,5448.0,0.9,0.34
HD 38283 b,0.34,0.34,1.02,363.2,0.41,,2450802.6,,,Radial Velocity,1.085,5.4,5945.0,,0.24
HD 38529 b,0.93,0.78,0.131,14.3104,0.248,95.9,50020.19,,57.0,Radial Velocity,1.48,3.28,5697.0,2.44,0.27
HD 38529 c,23.7,17.7,3.695,2134.76,0.36,22.52,48002.0,,48.3,Radial Velocity,1.48,3.28,5697.0,2.44,0.27
HD 38801 b,10.13,10.13,1.66,686.8,0.059000000000000004,296.0,2453849.0,1.1340000000000001,,Radial Velocity,1.26,4.67,5207.0,2.41,0.26
HD 38858 b,0.0961,0.0961,1.0376,407.15,0.27,,,,,Radial Velocity,,,,,
HD 39194 b,0.0117,0.0117,0.0519,5.6363,0.2,,,,,Radial Velocity,,,,,
HD 39194 c,0.0187,0.0187,0.0954,14.025,0.11,,,,,Radial Velocity,,,,,
HD 39194 d,0.0162,0.0162,0.172,33.941,0.2,,,,,Radial Velocity,,,,,
HD 39392 b,13.2,13.2,1.08,394.3,0.39399999999999996,328.1,2456322.0,,,Radial Velocity,1.08,,5951.0,,0.32
HD 39855 b,0.0267,0.0267,0.040999999999999995,3.2498,0.14,102.97,,,,Radial Velocity,0.87,,5576.0,,
HD 40307 b,0.012,0.012,0.0475,4.3114,0.12,194.0,,,,Radial Velocity,0.77,,4977.0,,0.31
HD 40307 c,0.0202,0.0202,0.0812,9.621,0.05,234.0,,,,Radial Velocity,0.77,,4977.0,,0.31
HD 40307 d,0.0275,0.0275,0.134,20.412,0.07,17.0,,,,Radial Velocity,0.77,,4977.0,,0.31
HD 40307 e,0.011000000000000001,0.011000000000000001,0.1886,34.62,0.15,302.0,,,,Radial Velocity,0.77,,4977.0,,0.31
HD 40307 f,0.0114,0.0114,0.2485,51.68,0.19,354.0,,,,Radial Velocity,0.77,,4977.0,,0.31
HD 40307 g,0.0223,0.0223,0.6,197.8,0.29,91.2,,,,Radial Velocity,0.77,,4977.0,,0.31
HD 40956 b,2.7,2.7,1.4,578.6,0.24,338.62,2455341.88,,,Radial Velocity,2.0,1.35,4869.0,8.56,0.14
HD 40979 b,4.01,4.01,0.846,264.1,0.252,323.4,2453919.0,,,Radial Velocity,1.1,1.48,6205.0,1.21,0.19399999999999998
HD 41004 A b,2.54,2.54,1.64,963.0,0.39,97.0,2452425.0,,,Radial Velocity,0.7,1.64,5035.0,,0.09
HD 41004 B b,18.4,18.4,0.0177,1.3236299999999999,0.057999999999999996,149.0,2452532.699,1.06,,Radial Velocity,0.4,1.56,5035.0,,0.01
HD 4113 b,1.56,1.56,1.28,526.62,0.903,317.7,3778.0,,,Radial Velocity,0.99,4.8,5688.0,,0.2
HD 41248 c,0.0223,0.0223,0.107,13.365,0.0117,54.0,,,,Radial Velocity,0.92,2.0,5713.0,0.78,0.43
HD 42012 b,1.6,1.6,1.67,857.5,0.0,,2455386.2,,,Radial Velocity,0.83,4.1,5405.0,0.82,0.09
HD 4203 b,1.82,1.82,1.1640000000000001,437.05,0.52,328.03,2451911.52,,,Radial Velocity,1.13,9.41,5701.0,1.33,0.45299999999999996
HD 4203 c,2.17,2.17,,6700.0,0.24,224.0,2456000.0,,,Radial Velocity,1.13,9.41,5701.0,1.33,0.45299999999999996
HD 4208 b,0.804,0.804,1.65,828.0,0.052000000000000005,345.0,2451040.0,,,Radial Velocity,0.87,4.47,5571.0,0.85,0.284
HD 42618 b,0.0453,0.0453,0.5539999999999999,149.61,0.19,101.0,,,,Radial Velocity,1.015,,5727.0,0.9990000000000001,0.09
HD 4308 b,0.0405,0.0405,0.11800000000000001,15.609000000000002,0.27,210.0,2450108.5,,,Radial Velocity,0.85,7.1,5597.0,0.92,0.34
HD 4313 b,2.3,2.3,1.19,356.0,0.040999999999999995,76.0,2454804.0,,,Radial Velocity,1.72,2.0,5035.0,4.9,0.14
HD 43197 b,0.6,0.6,0.92,327.8,0.83,251.0,4713.8,,,Radial Velocity,0.96,,5508.0,1.0,0.4
HD 43691 b,2.49,2.49,0.24,36.96,0.14,290.0,54046.6,,,Radial Velocity,1.38,2.8,6200.0,,0.28
HD 44219 b,0.58,0.58,1.19,472.3,0.61,147.4,4585.6,,,Radial Velocity,1.0,,5752.0,1.32,0.03
HD 44385 b,5.9,5.9,1.4,473.5,0.2,292.18,2455121.0,,,Radial Velocity,1.8,1.8,4400.0,18.2,0.1
HD 45184 b,0.04,0.04,0.0638,5.8872,0.3,,,,,Radial Velocity,,,,,
HD 45350 b,1.79,1.79,1.92,890.76,0.778,343.4,2451825.3,,,Radial Velocity,1.02,5.59,5754.0,1.27,0.29
HD 45364 b,0.1872,0.1872,0.6813,226.93,0.1684,162.58,53500.0,,,Radial Velocity,0.82,,5434.0,,0.17
HD 45364 c,0.6579,0.6579,0.8972,342.85,0.0974,7.41,53500.0,,,Radial Velocity,0.82,,5434.0,,0.17
HD 45652 b,0.47,0.47,0.23,43.6,0.38,273.0,2454120.3,,,Radial Velocity,0.83,,5312.0,,0.29
HD 46375 b,0.23,0.23,0.040999999999999995,3.02358,0.0524,113.7,2451920.7,1.02,,Radial Velocity,0.91,4.96,5199.0,1.0,0.24
HD 47186 b,0.07167000000000001,0.07167000000000001,0.05,4.0845,0.038,59.0,54566.95,,,Radial Velocity,0.99,,5675.0,,0.23
HD 47186 c,0.35061,0.35061,2.395,1353.6,0.249,26.0,52010.0,,,Radial Velocity,0.99,,5675.0,,0.23
HD 4732 b,2.37,2.37,1.19,360.2,0.13,85.0,2454967.0,,,Radial Velocity,1.74,,4959.0,5.4,0.01
HD 4732 c,2.37,2.37,4.6,2732.0,0.23,118.0,2456093.0,,,Radial Velocity,1.74,,4959.0,5.4,0.01
HD 47366 b,1.75,1.75,1.214,363.3,0.08900000000000001,100.0,2450122.0,,,Radial Velocity,1.81,1.61,4866.0,7.3,0.02
HD 47366 c,1.86,1.86,1.8530000000000002,684.7,0.278,132.0,2450445.0,,,Radial Velocity,1.81,1.61,4866.0,7.3,0.02
HD 4747 b,60.2,,16.4,13835.67,0.74,,,,66.8,Radial Velocity,0.82,3.3,5340.0,0.79,0.22
HD 47536 b,5.0,5.0,1.61,430.0,0.2,260.8,2451599.36,,,Radial Velocity,0.94,9.33,4380.0,23.47,0.68
HD 48265 b,1.16,1.16,1.51,700.0,0.18,309.0,4486.0,,,Radial Velocity,0.93,,,,0.17
HD 4917 b,1.615,1.615,,400.5,,,,1.224,,Radial Velocity,1.32,2.4,4802.0,5.01,
HD 49674 b,0.1,0.1,0.057999999999999996,4.94739,0.0495,263.9,2452308.9,0.98,,Radial Velocity,1.07,2.38,5482.0,0.94,0.25
HD 50499 b,1.45,1.45,3.93,2483.7,0.27,259.32,2456172.9,,,Radial Velocity,1.31,2.4,6099.0,1.42,0.38
HD 50499 c,2.93,2.93,9.02,8620.0,0.0,,2461832.0,,,Radial Velocity,1.31,2.4,6099.0,1.42,0.38
HD 50554 b,5.16,5.16,2.41,1293.0,0.5,355.7,2451832.4,,,Radial Velocity,1.04,4.58,5902.0,1.11,0.07
HD 51608 b,0.0413,0.0413,0.1059,14.07,0.15,,,,,Radial Velocity,,,,,
HD 51608 c,0.0565,0.0565,0.3791,95.415,0.41,,,,,Radial Velocity,,,,,
HD 52265 b,1.21,1.21,0.52,119.27,0.27,242.0,51422.3,,,Radial Velocity,1.2,4.88,6159.0,1.25,0.21
HD 5319 b,1.94,1.94,1.75,675.0,0.12,76.0,13068.0,,,Radial Velocity,1.56,2.4,5052.0,3.26,0.15
HD 5319 c,1.15,1.15,2.0709999999999997,886.0,0.15,252.0,,,,Radial Velocity,1.56,2.4,5052.0,3.26,0.15
HD 55696 b,3.87,3.87,3.18,1827.0,0.705,137.0,2463648.0,,,Radial Velocity,1.29,2.6,,1.52,0.37
HD 5583 b,5.78,5.78,0.53,139.35,0.076,12.0,2456021.0,,,Radial Velocity,1.01,7.4,4830.0,9.09,0.5
HD 5608 b,1.681,1.681,1.911,779.9,0.055999999999999994,294.0,2452420.0,1.222,,Radial Velocity,1.53,,4877.0,5.14,0.06
HD 564 b,0.33,0.33,1.2,492.3,0.096,314.0,2455433.0,,,Radial Velocity,0.92,5.5,5902.0,1.01,0.13
HD 5891 b,7.6,7.6,0.76,177.11,0.066,360.0,2455432.0,,,Radial Velocity,1.91,1.5,4907.0,8.7,0.02
HD 59686 A b,6.92,6.92,1.0859999999999999,299.36,0.05,,,,,Radial Velocity,1.9,1.73,4658.0,13.2,0.15
HD 60532 b,9.21,3.15,0.77,201.83,0.278,352.83,54000.0,,20.0,Radial Velocity,1.44,2.7,6095.0,,0.26
HD 60532 c,21.81,7.46,1.58,607.06,0.038,119.49,54000.0,,20.0,Radial Velocity,1.44,2.7,6095.0,,0.26
HD 62509 b,2.9,2.9,1.69,589.64,0.02,354.58,2447739.02,,,Radial Velocity,1.47,,4666.0,9.3,0.19
HD 63454 b,0.39,0.39,0.036000000000000004,2.81747,0.0177,137.1,2453238.057,1.06,,Radial Velocity,0.8,1.0,4841.0,,0.11
HD 63765 b,0.64,0.64,0.9490000000000001,358.0,0.24,122.0,2454404.0,,,Radial Velocity,0.865,4.77,5432.0,,0.16
HD 64114 b,17.8,17.8,0.24600000000000002,45.791000000000004,0.12,215.3,,,,Radial Velocity,0.95,,5676.0,,
HD 6434 b,0.39,0.39,0.14,21.998,0.17,156.0,51490.8,,,Radial Velocity,0.79,3.8,5835.0,0.57,0.52
HD 65216 b,1.295,1.295,1.301,577.6,0.27,212.0,50762.0,,,Radial Velocity,0.92,,5666.0,,0.12
HD 65216 c,2.03,2.03,5.75,5370.0,0.17,123.0,,,,Radial Velocity,0.92,,5666.0,,0.12
HD 66141 b,6.0,6.0,1.2,480.5,0.07,22.1,2451320.8,,,Radial Velocity,1.1,6.84,4305.0,21.4,0.32
HD 66428 b,2.82,2.82,3.18,1973.0,0.465,152.9,,,,Radial Velocity,1.14552,5.56,5752.0,,0.31
HD 67087 b,3.06,3.06,1.08,352.2,0.17,284.0,2450154.8,,,Radial Velocity,1.36,1.45,6330.0,1.55,0.25
HD 67087 c,4.85,4.85,3.86,2374.0,0.76,255.0,2450322.5,,,Radial Velocity,1.36,1.45,6330.0,1.55,0.25
HD 6718 b,1.56,1.56,3.56,2496.0,0.1,286.0,4357.0,,,Radial Velocity,0.96,,5745.0,1.02,0.06
HD 68402 b,3.07,3.07,2.18,1103.0,0.03,341.0,,,,Radial Velocity,1.12,2.0,5950.0,1.02,0.29
HD 68988 b,1.86,1.86,0.0704,6.2771,0.1249,31.4,2451548.84,,,Radial Velocity,1.2,6.78,5767.0,1.14,0.24
HD 69830 b,0.1427,0.0321,0.0785,8.6682,0.07,340.0,2453496.8,,13.0,Radial Velocity,0.86,7.0,5385.0,0.895,0.05
HD 69830 c,0.1649,0.0371,0.18600000000000003,31.601,0.06,221.0,2453469.6,,13.0,Radial Velocity,0.86,7.0,5385.0,0.895,0.05
HD 69830 d,0.2529,0.0569,0.63,200.57,0.1,224.0,2453358.0,,13.0,Radial Velocity,0.86,7.0,5385.0,0.895,0.05
HD 70642 b,2.0,2.0,3.3,2231.0,0.1,277.0,2451749.0,,,Radial Velocity,1.0,3.88,5670.0,0.84,0.16
HD 7199 b,0.29,0.29,1.36,615.0,0.19,155.0,2455030.0,,,Radial Velocity,0.89,6.79,5386.0,0.96,0.28
HD 72490 b,1.768,1.768,1.88,858.0,0.124,145.0,2440320.0,1.218,,Radial Velocity,1.21,,4934.0,4.96,
HD 72659 b,3.15,3.15,4.74,3658.0,0.22,260.7,55351.0,,,Radial Velocity,0.95,6.5,5926.0,1.36,0.02
HD 72892 b,5.45,5.45,0.228,39.475,0.423,353.0,,,,Radial Velocity,1.02,8.0,5688.0,1.22,0.25
HD 73267 b,3.06,3.06,2.198,1260.0,0.256,229.1,2451821.7,,,Radial Velocity,0.89,7.4,5317.0,1.04,0.03
HD 73526 b,2.25,2.25,0.65,188.9,0.29,196.0,2452856.0,,,Radial Velocity,1.08,5.59,5590.0,1.49,0.25
HD 73526 c,2.25,2.25,1.03,379.1,0.28,272.0,2453300.0,,,Radial Velocity,1.08,5.59,5590.0,1.49,0.25
HD 73534 b,1.15,1.15,3.15,1800.0,0.046,59.0,2453120.0,,,Radial Velocity,1.29,,4952.0,2.65,0.16
HD 74156 b,1.778,1.778,0.2916,51.6385,0.638,175.35,2450793.39,,,Radial Velocity,1.24,3.7,5960.0,1.64,0.13
HD 74156 c,7.997000000000001,7.997000000000001,3.82,2448.9,0.3829,268.9,2448559.0,,,Radial Velocity,1.24,3.7,5960.0,1.64,0.13
HD 7449 b,0.508,0.508,2.38,1255.5,0.92,69.9,2455298.0,,,Radial Velocity,1.05,2.1,6024.0,1.01,0.11
HD 7449 c,19.2,19.2,12.7,15441.0,0.0,50.0,2455883.0,,,Radial Velocity,1.05,2.1,6024.0,1.01,0.11
HD 75289 b,0.47,0.47,0.046,3.5092800000000004,0.0211,136.3,2452593.9,1.03,,Radial Velocity,1.05,4.96,6120.0,1.25,0.29
HD 75784 b,1.15,1.15,1.073,341.7,0.13,,,,,Primary Transit,1.41,4.0,4917.0,3.3,0.25
HD 75784 c,5.6,5.6,6.5,5040.0,0.36,,,,,Primary Transit,1.41,4.0,4917.0,3.3,0.25
HD 75898 b,2.51,2.51,1.19,418.2,0.1,263.7,12907.0,,,Radial Velocity,1.28,3.8,6021.0,1.6,0.27
HD 76700 b,0.23,0.23,0.049,3.9710099999999997,0.0616,12.3,2452659.1,0.99,,Radial Velocity,1.0,4.51,5726.0,1.33,0.14
HD 76920 b,3.93,3.93,1.149,415.4,0.856,352.9,2454867.074,,,Radial Velocity,1.17,7.1,4698.0,7.47,0.11
HD 77065 b,41.0,41.0,0.43799999999999994,119.1135,0.69397,105.97200000000001,2456881.239,,,Radial Velocity,0.75,,4990.0,,0.51
HD 77338 b,0.5,0.5,0.0614,5.7561,,,,,,Radial Velocity,0.93,3.97,5370.0,0.88,0.35
HD 7924 b,0.0273,0.0273,0.056639999999999996,5.39792,0.057999999999999996,332.0,2454096.65,1.05,,Radial Velocity,0.8320000000000001,,5177.0,0.78,0.15
HD 7924 c,0.0247,0.0247,0.1134,15.299000000000001,0.098,,,,,Radial Velocity,0.8320000000000001,,5177.0,0.78,0.15
HD 7924 d,0.0203,0.0203,0.1551,24.451,0.21,119.0,,,,Radial Velocity,0.8320000000000001,,5177.0,0.78,0.15
HD 79498 b,1.34,1.34,3.13,1966.0,0.59,221.0,2453210.9,,,Radial Velocity,1.06,2.7,5740.0,,0.24
HD 80606 b,3.94,,0.449,111.43637,0.93366,300.651,2454424.857,0.9209999999999999,89.285,Primary Transit,0.98,7.63,5645.0,0.98,0.43
HD 81040 b,6.86,6.86,1.94,1001.7,0.526,81.3,2452504.0,,,Radial Velocity,0.96,4.18,5700.0,0.86,0.16
HD 81688 b,1.77,1.77,0.66,184.02,0.0,,2452335.4,,,Radial Velocity,2.1,,4753.0,13.0,0.359
HD 82886 b,1.3,1.3,1.65,705.0,0.27,347.0,2455200.0,,,Radial Velocity,1.06,7.0,5112.0,4.8,0.31
HD 82943 b,14.5,4.8,1.19,442.4,0.203,107.0,,,19.4,Radial Velocity,1.18,3.08,5874.0,1.12,0.32
HD 82943 c,14.39,4.78,0.746,219.3,0.425,133.0,,,19.4,Radial Velocity,1.18,3.08,5874.0,1.12,0.32
HD 82943 d,0.29,0.29,2.145,1078.0,0.0,,,,,Radial Velocity,1.18,3.08,5874.0,1.12,0.32
HD 8326 b,0.2095,0.2095,0.5329999999999999,159.0,0.2,315.2,,,,Radial Velocity,0.8,,4914.0,,
HD 83443 b,0.4,0.4,0.0406,2.98572,0.006999999999999999,117.3,2452248.9,1.04,,Radial Velocity,0.9,2.94,5460.0,1.04,0.35
HD 8535 b,0.68,0.68,2.45,1313.0,0.15,61.0,4537.0,,,Radial Velocity,1.13,,6136.0,1.19,0.02
HD 85390 b,0.099,0.099,1.3730000000000002,799.52,0.5,250.0,,,,Radial Velocity,0.76,7.2,5186.0,,0.07
HD 85512 b,0.011000000000000001,0.011000000000000001,0.26,58.43,0.11,178.0,2455239.7090000003,,,Radial Velocity,0.69,5.61,4715.0,,0.33
HD 85628 A b,3.1,,0.047,2.82406,0.0,,,1.53,,Primary Transit,1.75,0.8,7800.0,1.92,0.0
HD 8574 b,2.11,2.11,0.77,227.55,0.28800000000000003,3.6,2451467.5,,,Radial Velocity,1.17,7.13,6080.0,1.37,0.05
HD 86081 b,1.5,1.5,0.039,1.9980900000000001,0.0575,332.6,2453753.2,1.08,,Radial Velocity,1.21,6.21,6028.0,1.22,0.257
HD 86226 b,1.5,1.5,2.6,1534.0,0.73,58.0,2452240.0,,,Radial Velocity,1.02,,,,0.04
HD 86264 b,7.0,7.0,2.86,1475.0,0.7,306.0,15172.0,,,Radial Velocity,1.42,2.24,6210.0,1.88,0.20199999999999999
HD 8673 b,14.2,14.2,3.02,1634.0,0.723,323.4,2454420.5,,,Radial Velocity,1.35,1.95,6472.0,1.39,0.14
HD 86950 b,3.6,3.6,2.72,1270.0,0.17,243.0,2454245.0,,,Radial Velocity,1.66,,4805.0,8.8,0.04
HD 87646 A b,12.4,12.4,0.11699999999999999,13.481,0.05,,,,,Radial Velocity,1.12,,5770.0,1.55,0.17
HD 87646 A c,57.0,57.0,1.58,674.0,0.5,,,,,Radial Velocity,1.12,,5770.0,1.55,0.17
HD 87883 b,81.9,12.1,3.6,2754.0,0.53,191.0,11139.0,,8.5,Radial Velocity,0.82,9.8,4980.0,0.76,0.09300000000000001
HD 88133 b,0.3,0.3,0.047,3.41566,0.0761,357.2,2453180.0,1.0,,Radial Velocity,1.2,9.56,5494.0,1.93,0.34
HD 89307 b,2.0,2.0,3.34,2199.0,0.25,14.0,2454549.0,,,Radial Velocity,1.028,6.76,5950.0,1.05,0.14
HD 89345 b,0.1123,,0.105,11.813989999999999,0.203,345.1,,0.612,87.7,Primary Transit,1.12,9.4,5609.0,1.6569999999999998,0.45
HD 89744 b,10.32,8.35,0.917,256.78,0.677,193.7,,,54.0,Radial Velocity,1.4,2.04,6196.0,2.14,0.18
HD 89744 c,5.36,5.36,8.3,6974.0,0.29,174.0,,,,Radial Velocity,1.4,2.04,6196.0,2.14,0.18
HD 90156 b,0.057,0.057,0.25,49.77,0.31,113.0,,,,Radial Velocity,0.84,4.4,5599.0,,0.24
HD 9174 b,1.11,1.11,2.2,1179.0,0.12,101.0,,,,Radial Velocity,1.03,9.0,5577.0,1.67,0.39
HD 92788 b,27.02,3.76,0.97,325.8,0.35,277.83,2455647.14,,8.0,Radial Velocity,1.15,2.55,5744.0,1.14,0.27
HD 92788 c,3.76,3.76,10.5,11611.3,0.46,334.3,2456858.0,,,Radial Velocity,1.15,2.55,5744.0,1.14,0.27
HD 92987 b,17.9,17.9,9.75,10790.0,0.25,198.4,2457889.0,,,Radial Velocity,1.08,7.75,5779.0,1.58,0.08
HD 93083 b,0.37,0.37,0.47700000000000004,143.58,0.14,333.5,2453181.7,,,Radial Velocity,0.7,6.0,4995.0,,0.15
HD 93385 b,0.0263,0.0263,0.1116,13.186,0.15,,,,,Radial Velocity,,,,,
HD 93385 c,0.0318,0.0318,0.257,46.025,0.24,,,,,Radial Velocity,,,,,
HD 9446 b,0.7,0.7,0.18899999999999997,30.052,0.2,215.0,2454854.4,,,Radial Velocity,1.0,,5793.0,1.0,0.09
HD 9446 c,1.82,1.82,0.654,192.9,0.06,100.0,2454510.0,,,Radial Velocity,1.0,,5793.0,1.0,0.09
HD 94834 b,1.26,1.26,2.74,1576.0,0.14,38.0,2456100.0,1.242,,Radial Velocity,1.11,,4798.0,4.2,
HD 95086 b,2.6,,61.7,,0.2,,,,153.0,Imaging,1.6,0.017,7550.0,,
HD 95089 b,1.2,1.2,1.51,507.0,0.157,317.0,2454983.0,,,Radial Velocity,1.58,2.5,5002.0,4.9,0.05
HD 95089 c,3.97,3.97,,1860.0,0.294,74.6,2455492.0,,,Radial Velocity,1.58,2.5,5002.0,4.9,0.05
HD 95127 b,5.01,5.01,1.28,482.0,0.11,40.0,2453200.0,,,Radial Velocity,1.2,5.5,4218.0,20.0,0.18
HD 9578 b,0.62,0.62,,494.0,,,,,,Radial Velocity,1.12,,,,0.11
HD 95872 b,4.6,4.6,5.2,4375.0,0.06,17.0,2449869.0,,,Radial Velocity,0.95,10.0,5312.0,,0.41
HD 96063 b,0.9,0.9,0.99,361.1,0.28,90.0,2455260.0,,,Radial Velocity,1.02,9.0,5148.0,4.5,0.3
HD 96127 b,4.0,4.0,1.4,647.3,0.3,162.0,43969.4,,,Radial Velocity,0.91,,4152.0,35.0,0.24
HD 96167 b,0.68,0.68,1.3,498.9,0.71,285.0,2453057.0,,,Radial Velocity,1.31,3.8,5770.0,1.86,0.34
HD 96700 b,0.0284,0.0284,0.0774,8.1256,0.1,,,,,Radial Velocity,,,,,
HD 96700 c,0.04,0.04,0.42200000000000004,103.49,0.37,,,,,Radial Velocity,,,,,
HD 97334 b,53.0,,2620.0,,,,,,,Imaging,0.05,,,,0.01
HD 97619 b,3.5,3.5,1.6,665.9,0.23,293.53,2455238.0,,,Radial Velocity,1.3,4.9,4355.0,16.7,0.07
HD 97658 b,0.02375,,0.08,9.4903,0.078,71.0,,0.20047,89.14,Primary Transit,0.85,,5170.0,0.73,0.23
HD 98219 b,1.8,1.8,1.23,436.9,0.21,47.0,2455140.0,,,Radial Velocity,1.3,4.0,4992.0,4.5,0.02
HD 984 b,48.0,,18.0,,,,,,,Imaging,1.2,0.08,6315.0,,
HD 98649 b,6.79,6.79,6.57,6023.0,0.86,252.6,2455121.7,,,Radial Velocity,1.03,2.42,5790.0,1.01,0.05
HD 98736 b,2.33,2.33,1.864,968.8,0.226,162.0,2463541.0,,,Radial Velocity,0.92,7.4,5544.0,0.93,0.24
HD 99109 b,0.502,0.502,1.105,439.3,0.09,256.0,11310.0,,,Radial Velocity,0.93,12.2,5272.0,,0.315
HD 99492 b,0.079,0.079,0.12300000000000001,17.054000000000002,0.07,240.7,2453776.317,,,Radial Velocity,0.83,4.0,4740.0,0.96,0.36
HD 99706 b,1.4,1.4,2.14,868.0,0.365,359.0,2455219.0,,,Radial Velocity,1.72,2.1,4932.0,5.4,0.14
HD 99706 c,5.69,5.69,,1123.0,0.41100000000000003,136.0,2455383.0,,,Radial Velocity,1.72,2.1,4932.0,5.4,0.14
HII 1348 b,59.0,,138.0,,,,,,,Imaging,,,,,
HIP 105854 b,8.2,8.2,0.81,184.2,0.02,343.2,2455262.4,,,Radial Velocity,2.1,,4780.0,,0.31
HIP 107773 b,1.98,1.98,0.72,144.3,0.09,166.0,2456202.3,,,Radial Velocity,2.42,,4945.0,11.6,0.03
HIP 109384 b,1.56,1.56,1.1340000000000001,499.48,0.5489999999999999,104.49,2456337.02,,,Radial Velocity,0.78,,5180.0,,0.26
HIP 109600 b,2.68,2.68,0.706,232.08,0.163,228.7,2456017.1,,,Radial Velocity,0.87,,5530.0,,0.12
HIP 116454 b,0.0372,0.03719,0.098,9.1265,0.205,300.9,,0.226,88.43,Primary Transit,0.775,,5089.0,0.716,0.16
HIP 11915,0.99,0.99,4.8,3830.0,0.1,155.0,,,,Radial Velocity,1.0,4.0,5760.0,,0.059000000000000004
HIP 12961 b,0.35,0.35,0.13,57.435,0.16,272.0,2454428.4,,,Radial Velocity,0.67,,,,0.07
